timestamp, utilization.gpu [%], memory.used [MiB]
2026/09/25 02:54:12.934, 19 %, 56 MiB
2026/09/25 02:54:13.934, 41 %, 56 MiB
2026/09/25 02:54:14.934, 41 %, 56 MiB
2026/09/25 02:54:15.934, 18 %, 56 MiB
2026/09/25 02:54:16.934, 18 %, 56 MiB
2026/09/25 02:54:17.935, 41 %, 56 MiB
2026/09/25 02:54:18.935, 22 %, 56 MiB
2026/09/25 02:54:19.937, 18 %, 56 MiB
2026/09/25 02:54:20.937, 42 %, 56 MiB
2026/09/25 02:54:21.937, 43 %, 56 MiB
2026/09/25 02:54:22.939, 19 %, 56 MiB
2026/09/25 02:54:23.939, 19 %, 56 MiB
2026/09/25 02:54:24.939, 43 %, 56 MiB
2026/09/25 02:54:25.939, 43 %, 56 MiB
2026/09/25 02:54:26.940, 19 %, 56 MiB
2026/09/25 02:54:27.945, 41 %, 56 MiB
2026/09/25 02:54:28.946, 42 %, 56 MiB
2026/09/25 02:54:29.946, 19 %, 56 MiB
2026/09/25 02:54:30.946, 19 %, 56 MiB
2026/09/25 02:54:31.946, 42 %, 56 MiB
2026/09/25 02:54:32.946, 43 %, 56 MiB
2026/09/25 02:54:33.947, 19 %, 56 MiB
2026/09/25 02:54:34.947, 19 %, 56 MiB
2026/09/25 02:54:35.947, 43 %, 56 MiB
2026/09/25 02:54:36.947, 43 %, 56 MiB
2026/09/25 02:54:37.947, 19 %, 56 MiB
2026/09/25 02:54:38.948, 41 %, 56 MiB
2026/09/25 02:54:39.948, 42 %, 56 MiB
2026/09/25 02:54:40.948, 19 %, 56 MiB
2026/09/25 02:54:41.948, 19 %, 56 MiB
2026/09/25 02:54:42.948, 42 %, 56 MiB
2026/09/25 02:54:43.949, 42 %, 56 MiB
2026/09/25 02:54:44.949, 19 %, 56 MiB
2026/09/25 02:54:45.949, 19 %, 56 MiB
2026/09/25 02:54:46.949, 42 %, 56 MiB
2026/09/25 02:54:47.949, 23 %, 56 MiB
2026/09/25 02:54:48.949, 19 %, 56 MiB
2026/09/25 02:54:49.950, 42 %, 56 MiB
2026/09/25 02:54:50.950, 42 %, 56 MiB
2026/09/25 02:54:51.950, 19 %, 56 MiB
2026/09/25 02:54:52.950, 19 %, 56 MiB
2026/09/25 02:54:53.951, 43 %, 56 MiB
2026/09/25 02:54:54.951, 22 %, 56 MiB
2026/09/25 02:54:55.951, 19 %, 56 MiB
2026/09/25 02:54:56.951, 43 %, 56 MiB
2026/09/25 02:54:57.952, 43 %, 56 MiB
2026/09/25 02:54:58.952, 19 %, 56 MiB
2026/09/25 02:54:59.952, 19 %, 56 MiB
2026/09/25 02:55:00.952, 43 %, 56 MiB
2026/09/25 02:55:01.952, 19 %, 56 MiB
2026/09/25 02:55:02.953, 19 %, 56 MiB
2026/09/25 02:55:03.953, 43 %, 56 MiB
2026/09/25 02:55:04.953, 43 %, 56 MiB
2026/09/25 02:55:05.953, 19 %, 56 MiB
2026/09/25 02:55:06.953, 19 %, 56 MiB
2026/09/25 02:55:07.954, 42 %, 56 MiB
2026/09/25 02:55:08.954, 23 %, 56 MiB
2026/09/25 02:55:09.954, 19 %, 56 MiB
2026/09/25 02:55:10.954, 42 %, 56 MiB
2026/09/25 02:55:11.954, 42 %, 56 MiB
2026/09/25 02:55:12.955, 19 %, 56 MiB
2026/09/25 02:55:13.955, 19 %, 56 MiB
2026/09/25 02:55:14.955, 42 %, 56 MiB
2026/09/25 02:55:15.955, 43 %, 56 MiB
2026/09/25 02:55:16.955, 19 %, 56 MiB
2026/09/25 02:55:17.957, 19 %, 56 MiB
2026/09/25 02:55:18.957, 43 %, 56 MiB
2026/09/25 02:55:19.957, 22 %, 56 MiB
2026/09/25 02:55:20.958, 19 %, 56 MiB
2026/09/25 02:55:21.958, 43 %, 56 MiB
2026/09/25 02:55:22.958, 43 %, 56 MiB
2026/09/25 02:55:23.958, 19 %, 56 MiB
2026/09/25 02:55:24.958, 19 %, 56 MiB
2026/09/25 02:55:25.959, 43 %, 56 MiB
2026/09/25 02:55:26.959, 43 %, 56 MiB
2026/09/25 02:55:27.959, 19 %, 56 MiB
2026/09/25 02:55:28.965, 19 %, 56 MiB
2026/09/25 02:55:29.966, 43 %, 56 MiB
2026/09/25 02:55:30.966, 22 %, 56 MiB
2026/09/25 02:55:31.966, 19 %, 56 MiB
2026/09/25 02:55:32.966, 42 %, 56 MiB
2026/09/25 02:55:33.968, 43 %, 56 MiB
2026/09/25 02:55:34.968, 19 %, 56 MiB
2026/09/25 02:55:35.971, 19 %, 56 MiB
2026/09/25 02:55:36.971, 42 %, 56 MiB
2026/09/25 02:55:37.971, 42 %, 56 MiB
2026/09/25 02:55:38.972, 19 %, 56 MiB
2026/09/25 02:55:39.972, 41 %, 56 MiB
2026/09/25 02:55:40.972, 42 %, 56 MiB
2026/09/25 02:55:41.972, 19 %, 56 MiB
2026/09/25 02:55:42.972, 19 %, 56 MiB
2026/09/25 02:55:43.973, 42 %, 56 MiB
2026/09/25 02:55:44.973, 43 %, 56 MiB
2026/09/25 02:55:45.973, 19 %, 56 MiB
2026/09/25 02:55:46.973, 19 %, 56 MiB
2026/09/25 02:55:47.973, 43 %, 56 MiB
2026/09/25 02:55:48.973, 43 %, 56 MiB
2026/09/25 02:55:49.974, 19 %, 56 MiB
2026/09/25 02:55:50.974, 41 %, 56 MiB
2026/09/25 02:55:51.974, 42 %, 56 MiB
2026/09/25 02:55:52.974, 19 %, 56 MiB
2026/09/25 02:55:53.975, 19 %, 56 MiB
2026/09/25 02:55:54.975, 43 %, 56 MiB
2026/09/25 02:55:55.975, 43 %, 56 MiB
2026/09/25 02:55:56.975, 19 %, 56 MiB
2026/09/25 02:55:57.975, 19 %, 56 MiB
2026/09/25 02:55:58.976, 42 %, 56 MiB
2026/09/25 02:55:59.976, 19 %, 56 MiB
2026/09/25 02:56:00.976, 19 %, 56 MiB
2026/09/25 02:56:01.976, 42 %, 56 MiB
2026/09/25 02:56:02.976, 42 %, 56 MiB
2026/09/25 02:56:03.977, 19 %, 56 MiB
