timestamp, utilization.gpu [%], memory.used [MiB]
2026/09/25 06:19:21.190, 42 %, 56 MiB
2026/09/25 06:19:22.190, 42 %, 56 MiB
2026/09/25 06:19:23.190, 19 %, 56 MiB
2026/09/25 06:19:24.190, 42 %, 56 MiB
2026/09/25 06:19:25.191, 42 %, 56 MiB
2026/09/25 06:19:26.191, 19 %, 56 MiB
2026/09/25 06:19:27.191, 19 %, 56 MiB
2026/09/25 06:19:28.191, 42 %, 56 MiB
2026/09/25 06:19:29.192, 42 %, 56 MiB
2026/09/25 06:19:30.192, 19 %, 56 MiB
2026/09/25 06:19:31.192, 42 %, 56 MiB
2026/09/25 06:19:32.192, 42 %, 56 MiB
2026/09/25 06:19:33.192, 19 %, 56 MiB
2026/09/25 06:19:34.192, 19 %, 56 MiB
2026/09/25 06:19:35.193, 42 %, 56 MiB
2026/09/25 06:19:36.193, 42 %, 56 MiB
2026/09/25 06:19:37.193, 19 %, 56 MiB
2026/09/25 06:19:38.193, 19 %, 56 MiB
2026/09/25 06:19:39.193, 42 %, 56 MiB
2026/09/25 06:19:40.194, 42 %, 56 MiB
2026/09/25 06:19:41.194, 19 %, 56 MiB
2026/09/25 06:19:42.194, 43 %, 56 MiB
2026/09/25 06:19:43.194, 42 %, 56 MiB
2026/09/25 06:19:44.194, 19 %, 56 MiB
2026/09/25 06:19:45.195, 19 %, 56 MiB
2026/09/25 06:19:46.195, 43 %, 56 MiB
2026/09/25 06:19:47.195, 42 %, 56 MiB
2026/09/25 06:19:48.195, 19 %, 56 MiB
2026/09/25 06:19:49.195, 19 %, 56 MiB
2026/09/25 06:19:50.196, 42 %, 56 MiB
2026/09/25 06:19:51.196, 42 %, 56 MiB
2026/09/25 06:19:52.198, 19 %, 56 MiB
2026/09/25 06:19:53.198, 19 %, 56 MiB
2026/09/25 06:19:54.198, 42 %, 56 MiB
2026/09/25 06:19:55.212, 19 %, 56 MiB
2026/09/25 06:19:56.213, 19 %, 56 MiB
2026/09/25 06:19:57.213, 42 %, 56 MiB
2026/09/25 06:19:58.213, 42 %, 56 MiB
2026/09/25 06:19:59.214, 19 %, 56 MiB
2026/09/25 06:20:00.214, 19 %, 56 MiB
2026/09/25 06:20:01.214, 42 %, 56 MiB
2026/09/25 06:20:02.214, 42 %, 56 MiB
2026/09/25 06:20:03.214, 19 %, 56 MiB
2026/09/25 06:20:04.215, 42 %, 56 MiB
2026/09/25 06:20:05.215, 42 %, 56 MiB
2026/09/25 06:20:06.215, 19 %, 56 MiB
